Year,,Month,Agriculture,Forestry and logging,"Fishing, aquaculture and agriculture, forestry and fishing support services",Mining,"Food, beverage, and tobacco manufacturing"," Textile, leather, clothing, and footwear manufacturing",Wood and paper products manufacturing,Printing,"Petroleum, chemical, polymer, and rubber product manufacturing",Non-metallic mineral product manufacturing, Metal product manufacturing,"Transport equipment, machinery and equipment manufacturing",Furniture and other manufacturing,Manufacturing,"Electricity, gas, water, and waste services",Construction,Wholesale trade,Retail trade,Accommodation and food services,"Transport, postal, and warehousing",Information media and telecommunications,Financial and insurance services,"Rental, hiring, and real estate services",Ownership of owner-occupied dwellings,"Professional, scientific, and technical services",Administrative and support services,Local government administration,"Central government administration, defence, and public safety",Education and training,Health care and social assistance,Arts and recreation services,Other services,Unallocated industries,Gross domestic product
1994,,Mar,0.5,8.5,1.0,-5.6,-1.3,4.0,0.6,7.6,1.5,-0.1,3.2,2.6,5.0,1.3,5.5,-4.2,6.7,2.4,1.4,5.2,5.0,1.1,2.5,-0.2,1.4,3.8,0.6,0.1,1.0,0.9,12.5,4.6,1.6,1.5
,,Jun,-7.8,-0.8,-0.9,-4.4,2.7,2.8,-0.9,-3.1,3.2,7.5,-0.7,2.1,3.0,1.9,-3.5,9.7,-1.1,2.7,2.7,4.7,2.7,-0.2,-1.8,-0.6,-2.5,-2.0,-4.3,-0.4,1.0,-1.3,1.3,-3.9,2.9,0.7
,,Sep,6.2,3.0,-0.5,-7.1,2.8,-3.7,3.1,3.8,2.3,3.1,5.7,7.8,1.5,3.3,11.7,4.2,1.0,2.3,2.5,-2.6,1.5,1.0,0.3,0.4,-1.5,-1.2,-1.6,1.1,0.6,1.8,-0.2,2.0,2.1,1.7
,,Dec,-0.2,-1.5,2.9,0.7,0.5,5.0,3.4,7.8,1.4,0.5,1.7,-0.9,-0.5,1.4,-4.1,1.3,2.2,0.6,2.7,4.7,3.9,2.9,0.0,1.8,1.7,3.7,0.4,-2.2,0.4,1.3,3.5,1.0,1.6,1.3
1995,,Mar,-1.7,-2.6,5.2,-2.6,-0.9,-4.1,2.1,-5.1,-1.2,9.5,4.2,4.0,2.8,0.6,-2.6,4.8,2.1,0.6,-1.2,3.3,0.9,1.9,1.0,2.8,6.3,5.4,2.4,0.8,0.3,1.6,3.8,6.1,1.3,1.2
,,Jun,6.7,2.5,2.9,-4.3,1.9,-2.8,-2.4,4.2,-4.5,-5.7,-3.2,-2.5,-3.4,-1.6,8.8,3.9,3.7,0.5,11.7,2.1,2.1,-0.6,2.2,-1.3,-3.0,-4.2,2.2,0.4,0.4,1.4,1.5,-0.7,0.1,1.3
,,Sep,-1.6,0.9,1.7,19.0,-1.3,-2.8,-3.3,0.6,2.7,1.9,-0.9,-2.5,-5.2,-0.8,-3.4,-1.9,0.8,1.1,-9.6,4.0,3.5,0.9,1.9,0.1,6.1,5.0,0.3,-0.4,0.7,1.3,4.3,2.9,0.8,0.9
,,Dec,3.0,-0.5,-0.1,-9.3,4.2,4.0,-1.6,0.0,-5.5,2.3,-1.0,7.0,0.7,1.0,2.0,3.1,-1.4,0.2,-0.6,1.0,0.9,0.6,2.1,0.1,0.0,1.6,-0.1,1.5,0.7,1.3,0.1,1.1,1.1,0.7
1996,,Mar,3.7,-2.4,5.1,3.3,2.7,1.2,1.6,-1.8,4.2,-0.1,-1.7,-1.9,-3.8,1.3,0.4,1.3,-1.5,1.7,1.5,3.2,2.1,-0.8,4.0,0.3,3.8,2.9,-1.1,2.5,0.7,-0.9,2.6,3.8,3.0,1.4
,,Jun,1.4,-5.8,2.1,3.4,-1.3,-0.2,5.9,1.9,-1.4,-0.2,3.2,4.6,4.3,1.1,-4.4,3.4,0.8,1.0,0.9,-1.3,1.9,0.6,-1.6,0.1,2.2,-0.5,3.2,0.1,0.8,0.3,-4.6,-0.6,1.8,0.9
,,Sep,5.4,5.6,-1.3,11.7,-0.9,6.4,-0.4,1.0,1.6,-2.0,-2.9,-1.6,-2.9,-0.3,-6.2,1.5,2.2,0.0,2.1,0.2,1.9,0.4,-0.6,0.2,2.4,1.4,-2.6,-3.7,0.7,0.3,5.9,1.6,0.5,0.7
,,Dec,3.8,-2.8,-1.3,12.0,0.6,0.3,-2.4,-5.4,1.1,3.4,1.0,-1.4,-3.0,-0.2,6.5,2.0,-0.3,1.0,-1.7,0.2,1.2,1.6,2.7,0.4,3.8,3.1,-0.2,1.8,0.6,0.8,-0.5,-1.3,0.8,1.3
1997,,Mar,2.7,-1.3,-4.7,9.8,-2.2,-3.0,1.3,3.6,-0.8,-2.7,-0.7,-3.8,-4.8,-1.5,-2.9,3.8,-1.5,-1.2,-0.3,-2.7,1.1,1.9,1.1,0.6,1.2,0.0,1.2,-2.3,0.5,0.0,-0.1,-0.9,-0.6,-0.4
,,Jun,-0.2,10.8,4.0,-4.8,6.7,4.3,-1.8,-0.8,2.2,2.8,5.6,2.0,3.1,3.5,-2.6,-1.3,4.7,2.6,-0.8,1.8,3.4,0.9,-0.5,0.8,-1.2,-1.7,-0.3,2.1,0.4,4.8,4.9,5.7,2.2,2.0
,,Sep,-2.0,-4.0,-6.2,-9.3,-1.9,-5.8,-1.7,1.6,-5.0,3.1,-1.0,-3.2,1.9,-2.3,4.0,4.9,-3.9,0.7,0.9,0.7,1.8,0.0,-0.9,0.5,3.2,3.4,-1.0,-2.6,0.2,3.1,2.8,-0.3,-1.3,-0.2
,,Dec,-0.6,-1.8,-1.5,-3.4,-1.0,-2.7,-1.1,-1.2,2.7,-6.8,1.0,0.2,2.4,-0.2,1.9,-3.8,2.5,0.4,1.3,0.9,-0.6,-0.4,0.0,0.4,-2.9,-0.7,-1.4,-0.6,0.0,0.3,4.7,2.9,0.5,-0.2
1998,,Mar,-4.8,-3.9,1.7,-14.3,2.6,-5.1,-3.2,-6.9,-3.6,4.5,-1.8,5.4,-2.2,-0.2,4.7,-0.6,1.3,-1.2,0.2,-2.2,-0.3,-0.1,-0.5,0.1,-0.2,0.5,-1.3,-1.1,-0.2,1.6,-2.7,1.9,0.5,-0.6
,,Jun,1.2,-3.4,5.4,16.1,-2.3,-2.9,-6.5,5.5,1.4,-2.3,-2.3,-3.0,-6.7,-2.0,0.3,1.4,-2.6,-0.5,-1.8,0.5,3.1,1.3,0.1,-0.6,-0.2,0.7,1.0,-1.8,-0.4,2.1,2.5,2.5,0.7,0.5
,,Sep,-4.5,0.6,3.1,-2.9,-3.4,4.0,5.6,-7.7,2.3,-6.7,4.0,-1.8,8.6,0.0,0.9,-7.1,1.1,0.3,-2.2,0.9,-0.1,1.1,1.5,-0.5,-1.4,-0.8,-0.1,6.1,-0.1,4.9,2.9,1.8,0.2,0.1
,,Dec,-0.5,9.7,2.3,5.4,1.0,-2.2,3.1,-0.4,-2.9,0.3,-2.8,-7.7,6.8,-1.2,-2.5,3.7,6.0,2.4,2.1,-1.2,3.8,1.7,2.8,0.2,5.1,5.5,-1.0,-3.9,0.2,1.9,0.3,2.5,2.5,1.0
1999,,Mar,-2.4,3.4,2.7,0.1,1.5,4.7,0.4,-3.1,0.0,3.4,5.9,10.3,1.5,2.7,-2.3,-0.7,0.2,1.5,1.4,4.4,2.9,1.2,1.9,0.4,-0.6,-0.9,-0.4,0.0,0.5,0.0,3.1,3.2,1.8,1.2
,,Jun,-1.0,-3.5,1.3,-5.6,-3.0,-5.4,4.0,0.8,0.2,0.9,2.2,-7.5,1.8,-1.5,2.0,3.8,1.8,1.7,2.5,-0.6,1.4,1.1,0.8,0.6,2.6,-0.6,-0.1,-1.5,0.7,0.0,-1.2,-1.6,0.8,0.8
,,Sep,6.5,11.1,4.7,4.4,3.7,-4.7,6.2,6.3,-0.3,2.6,5.0,5.7,0.6,3.2,-1.7,6.4,5.6,2.4,3.2,1.7,6.8,1.1,1.5,0.8,4.6,4.0,-0.3,0.5,0.7,1.0,3.0,1.9,2.2,2.8
,,Dec,1.2,-3.8,0.6,-6.9,1.5,12.3,5.0,3.5,2.9,6.7,3.9,7.8,-3.7,3.9,-2.4,4.1,1.2,0.9,-3.0,3.1,5.9,1.4,1.1,0.6,0.2,1.7,-0.2,1.1,0.8,0.7,3.0,0.2,0.5,1.2
2000,,Mar,2.1,5.8,-2.8,5.7,0.8,-3.6,0.1,-2.6,4.8,-0.7,-2.1,-4.7,10.6,0.1,1.1,14.6,-1.0,0.7,0.3,-0.3,0.8,1.6,1.9,0.5,2.0,2.7,-2.3,0.1,0.8,1.9,-1.5,0.0,1.4,1.5
,,Jun,-3.2,1.9,1.2,-6.0,-0.4,-9.2,1.6,-4.6,0.9,0.0,-3.1,1.8,-3.0,-0.7,2.8,-12.9,11.2,-0.8,0.7,0.7,3.7,1.2,0.7,0.2,-3.0,-1.3,-3.4,1.0,0.8,0.2,-2.4,-0.6,-1.2,0.0
,,Sep,5.8,-2.4,2.1,3.9,2.0,4.9,-3.2,1.3,-0.6,-0.4,2.1,2.4,-4.7,0.9,-0.9,-1.2,-5.3,1.3,-0.7,-0.4,1.0,0.9,1.7,0.4,0.9,2.1,1.1,-1.7,0.9,3.4,-0.5,-0.5,0.5,0.4
,,Dec,-1.0,1.2,1.6,4.6,2.0,-12.4,-0.6,-1.2,-0.1,-0.4,3.4,4.0,5.9,0.9,-0.6,-4.5,-0.8,0.3,2.5,1.5,0.4,0.1,1.4,0.5,-0.8,1.1,2.0,1.6,1.0,1.3,3.6,1.7,-1.0,0.2
2001,,Mar,-1.0,2.3,-5.2,-3.5,-4.0,0.0,1.3,7.6,0.5,-8.3,-8.3,2.1,-9.6,-2.1,-1.4,-1.1,1.6,0.1,0.3,-0.1,4.2,-0.3,1.8,0.9,2.1,1.4,0.9,2.0,1.1,0.4,3.2,2.5,0.2,0.3
,,Jun,-1.2,2.9,4.9,-3.4,7.1,8.7,-3.5,1.5,-0.7,8.9,9.8,-1.3,9.1,3.6,0.4,5.8,2.0,1.5,0.6,2.9,1.3,0.0,1.7,0.6,2.7,0.9,0.7,1.0,1.1,-1.4,2.0,1.9,2.4,1.4
,,Sep,-1.9,4.1,-0.3,2.1,-3.0,-8.0,-0.4,-1.9,2.6,3.2,0.0,-0.7,-5.0,-1.2,-5.6,-0.8,5.8,0.5,0.9,1.0,0.9,0.7,2.6,0.8,2.5,2.3,0.0,-2.5,1.2,1.5,1.3,2.7,0.4,0.8
,,Dec,-2.0,0.4,-1.6,-5.9,-1.2,-6.5,2.8,-1.3,0.6,-7.1,3.9,-2.4,-0.7,-0.4,2.4,7.0,1.7,1.6,0.7,-1.9,1.3,0.3,1.4,1.2,4.8,5.2,0.8,0.7,1.3,1.2,3.4,2.1,2.5,1.5
2002,,Mar,1.2,-2.2,4.1,-6.5,-0.6,4.9,-1.0,-0.9,-2.2,3.9,1.2,-1.1,2.3,-0.3,3.7,-4.2,0.5,2.3,1.4,5.7,1.5,0.1,2.7,1.1,1.1,1.8,0.4,1.6,1.4,-0.1,2.3,0.7,0.6,0.9
,,Jun,-0.9,4.3,-3.4,17.0,3.6,4.3,10.5,0.2,6.5,4.2,3.1,5.5,5.7,5.1,0.6,1.3,0.9,1.5,1.0,-2.1,1.3,1.2,3.7,0.9,1.4,0.6,0.4,3.2,1.5,-0.2,-0.2,1.5,1.2,1.3
,,Sep,-2.4,2.5,-0.3,-7.0,17.5,3.4,-1.4,-1.6,-6.2,2.4,-0.2,-0.3,5.7,4.5,3.8,6.7,-9.7,0.5,1.7,2.1,1.2,1.3,0.5,1.1,-0.7,0.3,1.8,1.2,1.2,1.1,1.9,0.9,3.6,1.2
,,Dec,2.5,1.9,0.0,1.3,5.0,-1.8,-4.2,2.7,-1.6,1.8,2.8,-1.3,-6.1,1.1,2.1,2.0,-6.0,0.3,0.8,1.6,1.0,1.3,0.8,1.1,1.0,2.7,-0.1,-1.0,0.9,0.4,0.9,0.5,1.6,1.3
2003,,Mar,2.4,-4.3,-2.7,-2.7,0.6,0.0,-0.1,-1.3,-4.4,5.9,4.8,1.7,0.5,0.3,-2.5,2.0,-0.8,0.3,0.5,-0.3,2.6,2.0,1.4,1.0,2.2,1.6,2.6,-0.3,0.7,1.4,2.7,0.6,1.1,0.6
,,Jun,4.7,-2.1,3.6,-9.1,-2.9,-2.9,-2.3,-0.9,-1.3,-2.5,1.4,1.0,0.4,-1.5,-2.6,-0.8,1.9,1.7,0.5,-0.3,-1.3,2.3,1.7,1.0,-0.7,-1.2,2.7,0.9,0.4,2.4,0.1,1.4,2.2,0.4
,,Sep,7.9,-6.3,6.4,4.4,1.3,-2.9,2.1,6.2,2.5,3.7,0.1,-1.3,5.9,1.2,5.5,6.0,4.1,2.4,0.3,0.1,4.5,2.1,1.7,1.0,0.1,0.4,0.0,2.8,0.3,1.8,-0.7,1.4,1.6,2.1
,,Dec,2.2,-3.6,-0.4,-12.3,3.0,-0.4,1.5,-2.0,0.2,4.3,0.4,1.6,-1.1,1.4,2.3,0.2,3.3,2.9,-0.7,3.7,-0.8,2.2,0.9,1.2,0.0,1.4,4.0,3.1,0.1,0.3,4.5,3.0,1.7,1.3
